Date,Time,Location,City,Province,No of Strike,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F),Total Died Max,year,customDate
thursday- october 11- 2012,16:40,bulandkhel area- orakzai,north waziristan,fata,4,0,0,17,18,0,0,17,18.0,15,20,0,4 missiles were fired on a compound,compound was owned by mulana shakirullah- the commander of taliban's hafiz gul bahadur group,http://www.dailytimes.com.pk/default.asp?page=2012\10\12\story_12-10-2012_pg1_4  http://dawn.com/2012/10/12/18-militants-killed-in-orakzai-drone-attack/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101642358&issue=np_lhe&date=20121012  http://tribune.com.pk/story/450500/spreading-campaign-17-killed-as-drone-targets-orakzai/,70.1455,32.9746,15.905,60.629,0,2012,2012-10-11
wednesday- october 24- 2012,,tappi area- 20 km east of miranshah,north waziristan,fata,2,0,0,3,5,0,0,3,5.0,0,0,1,two missiles fired on a compound and a car,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101653149&issue=np_lhe&date=20121025  http://tribune.com.pk/story/456599/drone-strike-kills-five-in-north-waziristan/  http://www.dailytimes.com.pk/default.asp?page=2012\10\25\story_25-10-2012_pg1_4,70.1455,32.9746,11.365,52.457,0,2012,2012-10-24
thursday- november 29- 2012,12:00,sheen warak area- wana,north waziristan,fata,1,0,0,2,4,0,0,2,4.0,0,4,0,drone targeted a vehicle,,http://tribune.com.pk/story/473116/south-waziristan-drone-strike-kills-two/  http://www.thenews.com.pk/todays-news-13-19171-three-killed-in-swa-drone-attack  http://www.dailytimes.com.pk/default.asp?page=2012\11\30\story_30-11-2012_pg7_12,70.1455,32.9746,5.07,41.126,0,2012,2012-11-29
saturday- december 01- 2012,,sheen warsask area,south waziristan,fata,3,0,0,0,3,0,1,0,4.0,0,3,0,3 missiles were fired on a car,drone targeted abdur rehman al-yamni- key commander of al-qaeda linked taliban group,http://tribune.com.pk/story/473991/south-waziristan-drone-strike-kills-suspected-militant/  http://www.thenews.com.pk/todays-news-13-19200-al-qaeda-leader-among-four-killed-in-swa-drone-attack  http://www.dailytimes.com.pk/default.asp?page=2012\12\02\story_2-12-2012_pg1_4  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101684593&issue=np_lhe&date=20121202,69.9,33.0333,5.28,41.504,0,2012,2012-12-01
thursday- december 06- 2012,7:45,mubarak shah village- mir ali,north waziristan,fata,2,0,0,3,4,0,0,3,4.0,0,0,0,2 missiles were fired on a compound,,http://tribune.com.pk/story/475941/us-drone-strike-kills-4-in-north-waziristan-2/  http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/national/06-dec-2012/three-killed-in-north-waziristan-drone-strike  http://www.dailytimes.com.pk/default.asp?page=2012\12\07\story_7-12-2012_pg1_4,70.1455,32.9746,8.69,47.642,0,2012,2012-12-06
sunday- december 09- 2012,,tabbi village- miranshah,north waziristan,fata,4,1,0,0,3,0,0,1,4.0,0,6,0,4 missiles were fired on a house,senior al-qaeda commander muhammad ahmed al-mansoor was among the dead,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101691585&issue=np_lhe&date=20121210  http://tribune.com.pk/story/477573/unmanned-war-us-drone-kills-another-al-qaeda-leader/  http://www.dailytimes.com.pk/default.asp?page=2012\12\10\story_10-12-2012_pg1_2  http://www.thenews.com.pk/todays-news-13-19373-al-qaeda-leader-among-four-killed-in-drone-strike,70.1455,32.9746,6.555,43.799,0,2012,2012-12-09
friday- december 21- 2012,12:15,hisukhel area of mir ali,north waziristan,fata,2,0,0,3,4,0,0,3,4.0,0,0,0,2 missiles were fired on a house,,http://dawn.com/2012/12/21/drone-attack-leaves-three-dead-in-north-waziristan/  http://tribune.com.pk/story/482501/us-drone-strike-kills-3-in-north-waziristan/  http://www.dailytimes.com.pk/default.asp?page=2012\12\22\story_22-12-2012_pg7_10,70.1455,32.9746,3.705,38.669,0,2012,2012-12-21
friday- december 28- 2012,,gurbuz- 65km west of miranshah,north waziristan,fata,8,0,0,4,7,0,0,4,7.0,0,2,0,eight missiles were fired on a compound,,http://www.dailytimes.com.pk/default.asp?page=2012\12\29\story_29-12-2012_pg1_5 http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101708755&issue=np_lhe&date=20121229  ,70.1455,32.9746,-3.165,26.303,0,2012,2012-12-28
wednesday- january 02- 2013,22:00,sara kanda area of birmal tehsil,south waziristan,fata,1,0,17,0,0,0,0,7,17.0,0,0,0,taliban warlord maulvi nazir wazir was targetted and killed,2 missiles were fired on a vehicle,http://tribune.com.pk/story/488854/taliban-warlord-mullah-nazir-killed-in-us-drone-strike/  http://www.dailytimes.com.pk/default.asp?page=2013\01\04\story_4-1-2013_pg1_4  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101714645&issue=np_lhe&date=20130104,69.9,33.0333,0.875,33.575,0,2013,2013-01-02
sunday- january 06- 2013,,babar ghar village,south waziristan,fata,1,0,17,0,0,0,0,10,17.0,0,7,0,members of ttp and punjabi taliban group were killed,10 missiles were fired on 2 compounds,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101717934&issue=np_lhe&date=20130107  http://www.dailytimes.com.pk/default.asp?page=2013\01\07\story_7-1-2013_pg1_1  http://tribune.com.pk/story/489837/drone-attack-in-south-waziristan-kills-at-least-10-intelligence-sources/,69.9,33.0333,-0.76,30.632,0,2013,2013-01-06
