Date,Time,Location,City,Province,No of Strike,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F),Total Died Max,year,customDate
tuesday- january 08- 2013,,haider khel village- 25km east of miranshah,north waziristan,fata,8,0,0,4,8,0,0,4,8.0,1,4,0,eight missiles were fired on a compound,,http://www.dailytimes.com.pk/default.asp?page=2013\01\08\story_8-1-2013_pg7_8  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101718898&issue=np_lhe&date=20130108  http://tribune.com.pk/story/491370/upsurge-in-attacks-us-drone-kills-12-militants-in-north-waziristan/,70.1455,32.9746,0.57,33.026,0,2013,2013-01-08
tuesday- january 08- 2013,,haso khel village,north waziristan,fata,4,0,0,3,4,0,0,3,4.0,1,4,0,four missiles were fired on a compound,,http://www.dailytimes.com.pk/default.asp?page=2013\01\08\story_8-1-2013_pg7_8  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101718898&issue=np_lhe&date=20130108  http://tribune.com.pk/story/491370/upsurge-in-attacks-us-drone-kills-12-militants-in-north-waziristan/,70.1455,32.9746,0.57,33.026,0,2013,2013-01-08
thursday- january 10- 2013,,heso khel village- 35km east of miranshah,north waziristan,fata,4,0,0,4,6,0,0,4,6.0,0,0,0,four missiles were fired on a house and two missiles were fired on a motorbike,,http://www.dailytimes.com.pk/default.asp?page=2013\01\11\story_11-1-2013_pg7_2  http://tribune.com.pk/story/492410/drone-attack-strike-kills-four-militants-in-north-waziristan/  http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1101721792&issue=np_lhe&date=20130111,70.1455,32.9746,4.315,39.767,0,2013,2013-01-10
wednesday- february 06- 2013,,ghulam khan tehsil,north waziristan,fata,4,0,0,3,5,0,0,3,5.0,0,0,0,"four missiles were fired- witnesses say ""the bodies could not be identified""",,http://epaper.dawn.com/detailnews.php?storytext=07_02_2013_003_010  http://www.dailytimes.com.pk/default.asp?page=2013\02\07\story_7-2-2013_pg1_8,70.1455,32.9746,2.08,35.744,0,2013,2013-02-06
friday- february 08- 2013,,bobar gar area- 50km south of miranshah,north waziristan,fata,2,2,9,0,0,2,2,7,9.0,2,6,0,two missiles were fired on a compound owned by local ttp commander ali mehsud,according to intelligence sources- drones killed abu majid al-iraqi and shiekh waqas al-yamoni,http://www.thenews.com.pk/todays-news-2-162986-only-two-drone-strikes-that-killed-nine-recorded-in-february  http://www.dailytimes.com.pk/default.asp?page=2013\02\09\story_9-2-2013_pg7_3,70.1455,32.9746,4.005,39.209,0,2013,2013-02-08
thursday- march 21- 2013,23:30,datta khel tehsil- 35 kilometres west of miransha,north waziristan,fata,1,0,0,1,4,0,0,1,4.0,0,0,0,four drones came to the area around midnight and fired two missiles targeting a militant vehicle,missiles left bodies charred and beyond recognition,,70.1455,32.9746,12.25,54.05,0,2013,2013-03-21
sunday- april 14- 2013,18:30,datta khel tehsil- 50 kilometres west of miranshah,north waziristan,fata,2,0,0,4,4,0,0,4,4.0,0,0,0,drones fired two missiles on two room house,as missiles mutilated the bodies- witnesses could not ascertain the identity of slain men,http://www.thenews.com.pk/todays-news-13-22268-four-killed-in-nwa-drone-attack http://www.cbsnews.com/8301-202_162-57579525/pakistani-officials-suspected-u.s-drone-strike-kills-4/,70.1455,32.9746,15.895,60.611,0,2013,2013-04-14
wednesday- april 17- 2013,,baber ghar area of south waziristan,south waziristan,fata,2,0,5,0,0,0,0,5,5.0,2,7,0,two missiles were fired by drone on a taliban training camp,drone apparently targets taliban training camp in baber ghar area of south waziristan,http://www.aljazeera.com/news/asia/2013/04/201341751036678818.html  http://tribune.com.pk/story/536648/us-drone-destroys-taliban-base-in-pakistan-five-killed/ http://www.geo.tv/geodetail.aspx?id=97119,69.9,33.0333,16.305,61.349,0,2013,2013-04-17
wednesday- may 29- 2013,,chashma village- 3km east of miranshah,north waziristan,fata,2,0,7,0,0,0,0,7,7.0,4,4,0,two missiles that struck a mud-built house at chashma,reportedly drone strike killed the number two of the pakistan taliban- waliur rehman- in the north waziristan region,http://tribune.com.pk/story/556015/us-drone-strike-kills-pakistan-taliban-number-two-officials/ http://www.aljazeera.com/news/asia/2013/05/201352955158237275.html,70.1455,32.9746,20.885,69.593,0,2013,2013-05-29
tuesday- july 02- 2013,2:30, sarai darpa khel area,north waziristan,fata,4,0,17,0,0,0,0,16,17.0,0,0,0,four missiles were fired on a compound,,http://tribune.com.pk/story/572273/un-drone-strike-death-toll-rises-to-17-as-pakistan-lodges-protest/- http://www.globalpost.com/dispatch/news/regions/asia-pacific/pakistan/130703/us-drone-strike-kills-at-least-16-northwestern-pa http://www.guardian.co.uk/world/2013/jul/03/killed-pakistan-cia-drone-strike http://www.guardian.co.uk/world/2013/jul/03/killed-pakistan-cia-drone-strike,70.1455,32.9746,22.025,71.645,0,2013,2013-07-02
